preco_imovel,condominio,iptu,rua,numero,bairro,cidade,area_util,quartos,banheiros,garagens,endereco_completo,address_found,latitude_calculada,longitude_calculada,Dist_Centro,Dist_UFSM,Dist_Royal,Dist_Pnova,Dist_HUSM,Dist_Caridade,Dist_Parque_Itaimbe,Dist_Praça_Roque,Dist_Praça_Saldanha,Dist_Club_Dores,Dist_Aeroporto,escola_fundamental,escola_infantil,geometry,apartamento,casa,cobertura,ln_preco,LISA_Cluster,p_valor_lisa
280000,R$ 280,,Adolfo Soares,162.0,Menino Jesus,Santa Maria,115.0,2,2,1,"Adolfo Soares, 162 - Menino Jesus, Santa Maria, Brasil","R. Adolfo Soares, 162 - Menino Jesus, Santa Maria - RS, 97050-430, Brazil",-29.6815712,-53.800655,0.00116816731346671,0.00010651925438005092,0.000909682627592855,0.0002510631737377156,0.00011086240700505237,0.0007952785812602612,0.002346059927841103,0.0008561780624219775,0.0012743976016207704,0.0012545861807783173,9.863681959849703e-05,1,1,POINT (-53.800655 -29.6815712),1,0,0,12.542544882151386,Low-Low (Baixo-Baixo),0.002
230000,,R$ 120,Affonso Pozzobon,144.0,Diácono João Luiz Pozzobon,Santa Maria,35.0,2,1,1,"Affonso Pozzobon, 144 - Diácono João Luiz Pozzobon, Santa Maria, Brasil","R. Affonso Pozzobon, 144 - Diácono João Luiz Pozzobon, Santa Maria - RS, 97061-024, Brazil",-29.7113171,-53.7590146,0.0001945403169448246,0.00022657853024766274,0.00023837428125061044,0.0001462127388749145,0.0002360387067174858,0.0001981955301157522,0.00019335493506932,0.00019724063114110076,0.00018453264539977597,0.0002230917884463204,0.000176295447675547,0,0,POINT (-53.7590146 -29.7113171),0,1,0,12.345834587905333,Não Significativo,0.068
1100000,,R$ 1.449,Agne,143.0,Itararé,Santa Maria,53.0,3,3,1,"Agne, 143 - Itararé, Santa Maria, Brasil","R. Agne, 143 - Itararé, Santa Maria - RS, 97045-010, Brazil",-29.6730366,-53.7985514,0.0005550579767285048,0.00010317401586831867,0.0005190209026743888,0.0002071238737184448,0.00010793777509992453,0.0004521830681834841,0.0007266889478456253,0.0004716839205964768,0.0006043312917126582,0.0006033774160731753,9.740515505541303e-05,1,0,POINT (-53.7985514 -29.6730366),0,1,0,13.9108207377686,Não Significativo,0.122
2399000,,,Agrimensor João Alves Dos Santos,135.0,Camobi,Santa Maria,294.0,3,5,2,"Agrimensor João Alves Dos Santos, 135 - Camobi, Santa Maria, Brasil","R. Agrimensor João Alves dos Santos, 135 - Camobi, Santa Maria - RS, 97110-833, Brazil",-29.7090125,-53.73918219999999,0.0001474712092039521,0.00036935432168348184,0.00017281220265256197,0.00011434493953979694,0.00042015635153077544,0.0001480711525499732,0.0001485166130187977,0.00014785139454220468,0.0001421501795090516,0.00016542826492211402,0.0002670617597145567,0,0,POINT (-53.73918219999999 -29.7090125),0,1,0,14.690562541821832,Não Significativo,0.123
780000,R$ 350,,Alameda Buenos Aires,171.0,Nossa Senhora das Dores,Santa Maria,103.0,3,2,1,"Alameda Buenos Aires, 171 - Nossa Senhora das Dores, Santa Maria, Brasil","Al. Buenos Aires, 171 - Nossa Sra. das Dores, Santa Maria - RS, 97050-545, Brazil",-29.69088249999999,-53.7932566,0.0008460386173138328,0.00012056046880536784,0.005487497660892658,0.0002533038341492324,0.00012538836428398775,0.0007989861343393349,0.0008634984886974852,0.00081290251654726,0.0006996307753588467,0.002105797414689653,0.00010888729266688983,0,1,POINT (-53.7932566 -29.69088249999999),1,0,0,13.567049198665774,Não Significativo,0.104
480000,R$ 350,,Alameda Buenos Aires,380.0,Nossa Senhora das Dores,Santa Maria,68.0,2,2,1,"Alameda Buenos Aires, 380 - Nossa Senhora das Dores, Santa Maria, Brasil","Al. Buenos Aires, 380 - Nossa Sra. das Dores, Santa Maria - RS, 97050-545, Brazil",-29.693226,-53.794177,0.0008390759123104459,0.00012082582702523131,0.0028329689302639383,0.000266340777835432,0.00012532751365007256,0.0008562073378748836,0.0007910644436591053,0.0008570973305148768,0.0006801555456026654,0.001556520298183828,0.00010845977477160372,0,1,POINT (-53.794177 -29.693226),1,0,0,13.081541382884074,Não Significativo,0.308
565000,R$ 300,,Alameda Cidade De Rosário,25.0,Nossa Senhora de Lourdes,Santa Maria,98.0,2,2,2,"Alameda Cidade De Rosário, 25 - Nossa Senhora de Lourdes, Santa Maria, Brasil","Alameda Cidade de Rosario, 25 - Nossa Sra. das Dores, Santa Maria - RS, 97050-645, Brazil",-29.6906218,-53.7926607,0.0008120556837624561,0.00012116029995284331,0.004427654700603372,0.00024923156611629364,0.00012609834773967416,0.0007623461807639201,0.0008406015798049153,0.0007760874775162932,0.0006790235862894509,0.0020011107530702762,0.00010948544692877213,0,1,POINT (-53.7926607 -29.6906218),1,0,0,13.244581010128577,Não Significativo,0.21
585000,R$ 400,,Alameda Cidade Rosário,25.0,Nossa Senhora de Lourdes,Santa Maria,132.0,2,2,1,"Alameda Cidade Rosário, 25 - Nossa Senhora de Lourdes, Santa Maria, Brasil","Alameda Cidade de Rosario, 25 - Nossa Sra. das Dores, Santa Maria - RS, 97050-645, Brazil",-29.6906218,-53.7926607,0.0008120556837624561,0.00012116029995284331,0.004427654700603372,0.00024923156611629364,0.00012609834773967416,0.0007623461807639201,0.0008406015798049153,0.0007760874775162932,0.0006790235862894509,0.0020011107530702762,0.00010948544692877213,0,1,POINT (-53.7926607 -29.6906218),1,0,0,13.279367126213993,Não Significativo,0.213
801255,,,Alameda Dos Ipês,11.0,Nossa Senhora Medianeira,Santa Maria,160.0,3,3,3,"Alameda Dos Ipês, 11 - Nossa Senhora Medianeira, Santa Maria, Brasil","Alameda dos ipês, 11 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6992796,-53.8204248,0.000519535511374701,9.520690302284114e-05,0.000374385111153006,0.0008051753609009368,9.705977191383576e-05,0.0006207080467099529,0.00042950974357013196,0.0005975007153535295,0.0005087289008923124,0.00038230031224717253,8.584097339901457e-05,0,0,POINT (-53.8204248 -29.6992796),1,0,0,13.593934527447157,High-High (Alto-Alto),0.001
885000,,,Alameda Dos Ipês,11.0,Nossa Senhora Medianeira,Santa Maria,160.0,3,2,3,"Alameda Dos Ipês, 11 - Nossa Senhora Medianeira, Santa Maria, Brasil","Alameda dos ipês, 11 - Nossa Sra. Medianeira, Santa Maria - RS, 97015-300, Brazil",-29.6992796,-53.8204248,0.000519535511374701,9.520690302284114e-05,0.000374385111153006,0.0008051753609009368,9.705977191383576e-05,0.0006207080467099529,0.00042950974357013196,0.0005975007153535295,0.0005087289008923124,0.00038230031224717253,8.584097339901457e-05,0,0,POINT (-53.8204248 -29.6992796),1,0,0,13.693342923990066,High-High (Alto-Alto),0.001
