nome,beta_intercepto,beta_area_util,beta_quartos,beta_banheiros,beta_garagens,beta_apartamento,beta_cobertura,beta_Dist_Centro,beta_Dist_UFSM
AGRO-INDUSTRIAL,13.684288033941963,0.0011424287082946408,0.0002584849479313478,0.25712840387405633,0.13893813749857498,-0.21356774008022894,0.24227472372339778,8.243159474536847e-05,-0.0001430128023285467
BOI MORTO,13.525552772894665,0.001988846549093306,-0.0036593701748929585,0.2358267492882078,0.10231503238049086,-0.2639403058962121,0.240375908784033,5.1425302259607375e-05,-0.00011781189247486485
BONFIM,8.318607259702475,0.0028006127933706826,0.006894504292004237,0.271584143133451,0.22519631381705663,0.1758002026660228,-0.05460928548932799,-0.00040738465349049945,0.0003777377928140289
CAMOBI,11.876156920484217,0.002186195536171857,0.19028735939221508,0.18451816298457788,0.11729148881866623,0.08021275564489339,0.11109731139139255,2.3650559354753612e-05,-6.162553483162343e-05
CAMPESTRE DO MENINO DEUS,12.795874907036335,0.0023848696238788626,0.09600551160488775,0.14541527588297146,0.21769064643344743,0.30539766045199407,0.24743338339098925,-6.067642192432595e-06,-0.00010707186409420803
CAROLINA,11.624247725464272,0.0022769108315975387,0.053319738498831176,0.18849858147516604,0.10117456996904475,0.03417150668371855,0.13517442265085305,-0.00023884267019077957,6.742699948786057e-05
CATURRITA,13.256754216071034,0.002313478315709173,0.046452334772101825,0.2113955344053508,0.14661755167648932,0.10702752354448515,0.16823560016245293,3.5338185223108606e-05,-0.00012925327721158487
CENTRO,9.373878529976286,0.0019301774726879085,0.12629805122390575,0.08730841548343653,0.2672879952961074,0.014809462847528819,0.037451457049906586,-0.0002909004191277421,0.00028323327577264076
CERRITO,12.85289283376863,0.002736352247651183,0.051829534766091014,0.20125447910096797,0.19955098838608562,0.23773049306924335,0.18323630790969267,-9.997638668651668e-05,-9.47024140293667e-05
CHÁCARA DAS FLORES,13.00655142732918,0.0023516803561409953,0.07206519546432803,0.1754798508307976,0.17198967229986825,0.17986430286350935,0.19289749221784103,1.369907389890876e-05,-0.0001129356927659366
DIVINA PROVIDÊNCIA,13.558713758754411,0.0022747596763737395,0.047315232228108905,0.20955788230374767,0.12080013048473115,0.06814507412262465,0.15854519076859755,8.29735823841812e-06,-0.00014682281692973912
DIÁCONO JOÃO LUIZ POZZOBON,12.526430645705627,0.002828851697215137,0.03381736845788997,0.2569199006045401,0.12047587509306666,0.1418264853143215,0.15469230349043667,-6.920403661957843e-05,-5.252818332323532e-05
DOM ANTÔNIO REIS,13.621212218525086,0.0026576403125040016,0.00026930744359173717,0.22360062872998188,0.1002194134316015,-0.1706293985182529,0.07018886619862927,-0.0001398387475433331,-0.00011689811813741733
DUQUE DE CAXIAS,13.76574360641804,0.0028861104487601106,0.007772296907523646,0.2009182588639809,0.04645117453622761,0.179035978581901,0.30661943537864467,-2.9455481077130086e-05,-0.00014604853250360604
ITARARÉ,13.400215365298813,0.002069586308584309,0.13210257337830164,0.09691675674940979,0.21912422104434665,0.20094733721521665,0.13927173411367708,-5.173750597136848e-05,-0.00015919831303389296
